Name,Age,#days,Lev,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,fantasy_points,season,player_type,GS,W,L,SV,IP,ER,ERA,PO,BF,Pit,Str,StL,StS,GB/FB,LD,PU,WHIP,BAbip,SO9,SO/W,IP_numeric
Matthew Liberatore,24,266,Maj-NL,St. Louis,60,,323,44,81,20,0,11,,28,3,76,2,,3,8,7,1,,,,,197.4,2024,pitcher,6.0,3.0,4.0,,86.0,42.0,4.4,1.0,358.0,1358.0,0.67,0.15,0.12,0.44,0.22,0.07,1.267,0.293,8.0,2.71,86.0
Zack Littell,28,269,Maj-AL,Tampa Bay,29,,618,68,164,29,2,22,,31,0,141,5,,0,13,6,3,,,,,390.25,2024,pitcher,29.0,8.0,10.0,,156.1,63.0,3.63,1.0,656.0,2486.0,0.68,0.16,0.11,0.34,0.28,0.1,1.247,0.312,8.1,4.55,156.1
Ben Lively,32,249,Maj-AL,Cleveland,30,,582,67,140,26,4,23,,50,0,120,5,,1,10,12,3,,,,,340.25,2024,pitcher,29.0,13.0,10.0,,152.1,64.0,3.78,3.0,638.0,2432.0,0.65,0.19,0.08,0.43,0.21,0.08,1.247,0.266,7.1,2.4,152.1
Nick Lodolo,26,303,Maj-NL,Cincinnati,21,,437,62,101,26,0,13,,37,0,122,18,,1,4,11,4,,,,,290.4,2024,pitcher,21.0,9.0,6.0,,115.1,61.0,4.76,2.0,493.0,1864.0,0.64,0.17,0.12,0.45,0.24,0.05,1.197,0.29,9.5,3.3,115.1
Jorge L\xc3\xb3pez,31,275,Maj-NL,"Chicago,New York",52,,196,19,46,9,0,6,,19,1,50,2,,0,7,6,1,,,,,147.55,2024,pitcher,0.0,2.0,3.0,4.0,53.0,17.0,2.89,2.0,217.0,807.0,0.66,0.23,0.09,0.51,0.16,0.07,1.226,0.286,8.5,2.63,53.0
Pablo L\xc3\xb3pez,28,267,Maj-AL,Minnesota,32,,715,90,180,33,0,26,,41,0,198,8,,4,11,11,1,,,,,510.09999999999997,2024,pitcher,32.0,15.0,10.0,,185.1,84.0,4.08,2.0,772.0,2982.0,0.67,0.15,0.13,0.44,0.25,0.05,1.192,0.311,9.6,4.83,185.1
Reynaldo L\xc3\xb3pez,30,264,Maj-NL,Atlanta,26,,492,32,108,22,2,10,,42,0,148,2,,6,14,20,1,,,,,452.55,2024,pitcher,25.0,8.0,5.0,,135.2,30.0,1.99,0.0,543.0,2110.0,0.65,0.16,0.12,0.4,0.29,0.06,1.106,0.288,9.8,3.52,135.2
Michael Lorenzen,32,255,Maj-AL,"Kansas City,Texas",28,,479,50,104,20,1,17,,61,0,100,6,,2,14,7,5,,,,,300.4,2024,pitcher,24.0,7.0,7.0,,132.2,49.0,3.32,0.0,548.0,2134.0,0.61,0.17,0.09,0.41,0.23,0.1,1.244,0.239,6.8,1.64,132.2
Seth Lugo,34,255,Maj-AL,Kansas City,35,,807,78,184,37,6,17,,53,1,189,10,,5,18,5,5,,,,,574.3000000000001,2024,pitcher,35.0,16.0,9.0,,216.0,72.0,3.0,1.0,878.0,3281.0,0.65,0.18,0.09,0.45,0.24,0.04,1.097,0.276,7.9,3.57,216.0
Jes\xc3\xbas Luzardo,26,370,Maj-NL,Miami,12,,248,37,61,12,1,9,,22,0,58,2,,1,6,5,4,,,,,143.50000000000003,2024,pitcher,12.0,3.0,6.0,,66.2,37.0,5.0,1.0,274.0,1084.0,0.64,0.15,0.14,0.39,0.23,0.05,1.245,0.286,7.8,2.64,66.2
Lance Lynn,37,277,Maj-NL,St. Louis,23,,458,64,113,21,1,16,,44,0,109,4,,4,7,16,3,,,,,287.90000000000003,2024,pitcher,23.0,7.0,4.0,,117.1,50.0,3.84,1.0,511.0,2040.0,0.62,0.14,0.1,0.36,0.27,0.09,1.338,0.288,8.4,2.48,117.1
Kenta Maeda,36,265,Maj-AL,Detroit,28,,442,80,124,25,1,22,,31,0,96,5,,6,9,11,4,,,,,199.25000000000003,2024,pitcher,16.0,3.0,7.0,,112.1,76.0,6.09,1.0,485.0,1956.0,0.63,0.16,0.11,0.36,0.26,0.09,1.38,0.309,7.7,3.1,112.1
Sean Manaea,32,244,Maj-NL,New York,36,,734,86,151,29,0,24,,71,0,203,11,,4,11,24,3,,,,,560.1999999999999,2024,pitcher,36.0,14.0,7.0,,200.2,80.0,3.59,6.0,821.0,3324.0,0.65,0.16,0.12,0.39,0.24,0.08,1.106,0.249,9.1,2.86,200.2
Joe Mantiply,33,265,Maj-NL,Arizona,75,,225,27,52,14,4,1,,18,7,53,0,,0,6,7,1,,,,,148.75,2024,pitcher,2.0,6.0,2.0,1.0,59.2,26.0,3.92,0.0,243.0,867.0,0.68,0.15,0.14,0.54,0.18,0.02,1.173,0.298,8.0,2.94,59.2
Alec Marsh,26,265,Maj-AL,Kansas City,26,,493,70,123,28,3,19,,39,1,123,11,,4,9,9,2,,,,,304.95,2024,pitcher,25.0,9.0,9.0,,129.0,65.0,4.53,5.0,548.0,2161.0,0.64,0.17,0.1,0.39,0.26,0.09,1.256,0.293,8.6,3.15,129.0
Davis Martin,27,269,Maj-AL,Chicago,11,,192,25,50,5,0,5,,23,0,47,5,,0,5,2,3,,,,,114.2,2024,pitcher,10.0,0.0,5.0,,50.0,24.0,4.32,0.0,220.0,892.0,0.63,0.15,0.12,0.47,0.18,0.08,1.46,0.321,8.5,2.04,50.0
Justin Martinez,22,266,Maj-NL,Arizona,64,,267,26,59,10,1,2,,36,6,91,2,,2,5,2,1,,,,,249.80000000000004,2024,pitcher,0.0,5.0,6.0,8.0,72.2,20.0,2.48,0.0,308.0,1177.0,0.63,0.16,0.14,0.6,0.23,0.03,1.307,0.324,11.3,2.53,72.2
Nick Martinez,33,267,Maj-NL,Cincinnati,42,,539,56,128,32,2,13,,18,0,116,5,,3,9,10,3,,,,,366.15,2024,pitcher,16.0,10.0,7.0,,142.1,49.0,3.1,4.0,570.0,2125.0,0.68,0.16,0.11,0.38,0.25,0.1,1.026,0.278,7.3,6.44,142.1
Seth Martinez,29,271,Maj-AL,Houston,44,,199,24,49,12,1,7,,18,1,36,4,,0,9,4,1,,,,,108.39999999999999,2024,pitcher,0.0,3.0,2.0,1.0,52.2,21.0,3.59,0.0,222.0,839.0,0.63,0.17,0.09,0.42,0.24,0.12,1.272,0.269,6.2,2.0,52.2
Phil Maton,31,244,"Maj-AL,Maj-NL","New York,Tampa Bay",77,,259,33,58,9,2,11,,28,1,66,10,,0,6,3,2,,,,,171.14999999999998,2024,pitcher,0.0,3.0,4.0,3.0,70.1,32.0,4.09,0.0,298.0,1213.0,0.63,0.16,0.11,0.46,0.23,0.09,1.223,0.258,8.4,2.36,70.1
