Name,Age,#days,Lev,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,fantasy_points,season,player_type,GS,W,L,SV,IP,ER,ERA,PO,BF,Pit,Str,StL,StS,GB/FB,LD,PU,WHIP,BAbip,SO9,SO/W,IP_numeric
Dansby Swanson,29,630,Maj-NL,Chicago,147,638.0,565,81,138,25,3,22,80.0,66,0,154,5,0.0,2,9,9,1,0.244,0.328,0.416,0.744,1142.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Fernando Tatis Jr.,24,629,Maj-NL,San Diego,141,635.0,575,91,148,33,1,25,78.0,53,0,141,3,1.0,3,17,29,4,0.257,0.322,0.449,0.77,1285.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Mike Tauchman,32,629,Maj-NL,Chicago,108,401.0,337,64,85,18,0,8,48.0,56,1,86,4,1.0,3,3,7,1,0.252,0.363,0.377,0.739,726.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Leody Taveras,24,598,Maj-AL,Texas,160,621.0,568,75,146,32,4,15,70.0,45,0,130,1,3.0,4,3,18,4,0.257,0.311,0.407,0.717,1099.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Chris Taylor,32,619,Maj-NL,Los Angeles,120,391.0,344,51,81,15,1,15,57.0,42,2,127,4,0.0,1,3,16,3,0.235,0.325,0.416,0.741,771.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Michael A. Taylor,32,619,Maj-AL,Minnesota,134,402.0,368,49,80,14,1,21,51.0,26,0,135,4,3.0,1,8,13,1,0.217,0.276,0.432,0.708,745.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Tyrone Taylor,29,626,Maj-NL,Milwaukee,83,251.0,239,37,55,17,1,11,37.0,8,0,57,3,0.0,1,10,9,0,0.23,0.263,0.448,0.711,496.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Rowdy Tellez,28,629,Maj-NL,Milwaukee,105,351.0,311,26,67,9,1,13,47.0,35,2,86,0,0.0,5,11,0,0,0.215,0.291,0.376,0.667,531.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Matt Thaiss,28,647,Maj-AL,Los Angeles,95,307.0,262,32,56,6,0,9,31.0,36,1,83,6,0.0,3,4,2,0,0.214,0.319,0.34,0.659,463.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Alek Thomas,23,598,Maj-NL,Arizona,142,461.0,428,60,98,18,5,13,45.0,23,1,99,4,2.0,4,6,11,1,0.229,0.272,0.386,0.658,765.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Lane Thomas,27,629,Maj-NL,Washington,156,682.0,628,101,168,36,3,28,86.0,36,0,176,11,0.0,7,5,20,5,0.268,0.315,0.468,0.783,1355.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Spencer Torkelson,23,629,Maj-AL,Detroit,159,684.0,606,88,141,34,1,31,94.0,67,1,171,6,0.0,5,15,3,0,0.233,0.313,0.446,0.758,1238.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Gleyber Torres,26,630,Maj-AL,New York,158,672.0,596,90,163,28,2,25,68.0,67,0,98,3,0.0,6,19,13,6,0.273,0.347,0.453,0.8,1251.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Ezequiel Tovar,21,629,Maj-NL,Colorado,153,615.0,581,79,147,37,4,15,73.0,25,0,166,4,2.0,3,10,11,5,0.253,0.287,0.408,0.695,1057.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Alan Trejo,27,630,Maj-NL,Colorado,82,227.0,207,24,48,11,0,4,26.0,16,0,51,1,1.0,2,3,5,1,0.232,0.288,0.343,0.631,353.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Mike Trout,31,669,Maj-AL,Los Angeles,82,362.0,308,54,81,14,1,18,44.0,45,2,104,7,0.0,2,4,2,0,0.263,0.367,0.49,0.858,712.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Kyle Tucker,26,607,Maj-AL,Houston,168,722.0,614,101,169,40,5,29,113.0,88,9,102,3,0.0,10,11,30,5,0.275,0.364,0.498,0.862,1575.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Brice Turang,23,626,Maj-NL,Milwaukee,139,453.0,407,46,88,9,3,6,34.0,39,1,96,1,4.0,2,9,26,4,0.216,0.285,0.297,0.582,709.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Justin Turner,38,629,Maj-AL,Boston,146,626.0,558,86,154,31,0,23,96.0,51,0,110,11,0.0,6,10,4,1,0.276,0.345,0.455,0.8,1193.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Trea Turner,30,606,Maj-NL,Philadelphia,168,746.0,688,111,187,40,5,29,81.0,50,2,158,6,0.0,2,12,34,1,0.272,0.326,0.471,0.797,1535.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Ram\xc3\xb3n Ur\xc3\xadas,29,623,Maj-AL,Baltimore,117,398.0,362,45,96,22,3,4,42.0,27,0,101,8,0.0,1,10,3,1,0.265,0.329,0.376,0.705,634.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Gio Urshela,31,737,Maj-AL,Los Angeles,62,228.0,214,22,64,8,1,2,24.0,10,0,36,1,0.0,3,9,3,2,0.299,0.329,0.374,0.703,356.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Ildemaro Vargas,31,629,Maj-NL,Washington,86,286.0,262,32,66,13,2,4,31.0,19,0,20,1,3.0,1,10,1,1,0.252,0.304,0.363,0.666,433.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Miguel Vargas,23,714,Maj-NL,Los Angeles,81,304.0,256,36,50,15,4,7,32.0,38,1,61,4,1.0,4,1,3,2,0.195,0.305,0.367,0.672,484.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Daulton Varsho,26,626,Maj-AL,Toronto,160,587.0,532,65,116,23,3,20,61.0,45,0,138,4,2.0,3,5,16,7,0.218,0.283,0.385,0.668,979.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Andrew Vaughn,25,629,Maj-AL,Chicago,152,615.0,566,67,146,30,2,21,80.0,36,0,129,11,0.0,2,15,0,0,0.258,0.314,0.429,0.743,1043.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Christian V\xc3\xa1zquez,32,629,Maj-AL,Minnesota,102,355.0,327,34,73,13,0,6,32.0,25,1,82,1,1.0,1,11,1,0,0.223,0.28,0.318,0.598,476.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Alex Verdugo,27,629,Maj-AL,Boston,142,602.0,546,81,144,37,5,13,54.0,45,1,93,6,0.0,5,11,5,3,0.264,0.324,0.421,0.745,1019.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Mark Vientos,23,629,Maj-NL,New York,65,233.0,218,19,46,5,1,9,22.0,10,0,71,3,0.0,2,5,1,0,0.211,0.253,0.367,0.62,329.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Matt Vierling,26,629,Maj-AL,Detroit,134,530.0,479,63,125,21,5,10,44.0,44,1,112,5,1.0,1,8,6,6,0.261,0.329,0.388,0.717,854.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Daniel Vogelbach,30,638,Maj-NL,New York,104,319.0,275,33,64,8,0,13,48.0,42,1,81,2,0.0,0,6,0,0,0.233,0.339,0.404,0.742,549.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Anthony Volpe,22,629,Maj-AL,New York,159,601.0,541,62,113,23,4,21,60.0,52,0,167,5,1.0,2,10,24,5,0.209,0.283,0.383,0.666,1030.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Joey Votto,39,629,Maj-NL,Cincinnati,65,242.0,208,26,42,6,0,14,38.0,27,0,62,7,0.0,0,2,0,0,0.202,0.314,0.433,0.747,432.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
LaMonte Wade Jr.,29,629,Maj-NL,San Francisco,135,519.0,429,64,110,14,2,17,45.0,76,3,95,6,4.0,4,4,2,0,0.256,0.373,0.417,0.79,879.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Christian Walker,32,598,Maj-NL,Arizona,174,736.0,642,93,163,41,2,34,110.0,75,4,146,9,0.0,9,13,17,0,0.254,0.336,0.483,0.819,1478.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Jordan Walker,21,629,Maj-NL,St. Louis,117,465.0,420,51,116,19,2,16,51.0,37,0,104,6,0.0,2,9,7,4,0.276,0.342,0.445,0.787,833.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Matt Wallner,25,620,Maj-AL,Minnesota,80,266.0,221,43,53,11,1,14,41.0,31,1,85,14,0.0,0,1,2,1,0.24,0.368,0.489,0.857,552.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Taylor Walls,26,626,Maj-AL,Tampa Bay,101,355.0,309,50,63,12,2,8,36.0,44,0,93,1,1.0,0,2,22,1,0.204,0.305,0.333,0.638,651.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Taylor Ward,29,693,Maj-AL,Los Angeles,97,409.0,356,60,90,18,0,14,47.0,39,0,80,8,0.0,6,9,4,2,0.253,0.335,0.421,0.756,732.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Drew Waters,24,630,Maj-AL,Kansas City,98,337.0,302,40,69,11,5,8,32.0,27,0,107,5,0.0,3,4,16,5,0.228,0.3,0.377,0.677,598.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Joey Wendle,33,629,Maj-NL,Miami,112,318.0,297,33,63,16,3,2,20.0,13,0,67,2,3.0,3,8,7,1,0.212,0.248,0.306,0.554,421.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Jordan Westburg,24,620,Maj-AL,Baltimore,71,237.0,217,28,56,18,2,3,23.0,16,0,60,1,0.0,3,3,4,1,0.258,0.308,0.401,0.709,391.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Joey Wiemer,24,644,Maj-NL,Milwaukee,132,410.0,367,48,75,19,0,13,42.0,36,0,116,5,0.0,2,4,11,4,0.204,0.283,0.362,0.645,671.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Patrick Wisdom,31,629,Maj-NL,Chicago,97,302.0,268,43,55,8,1,23,46.0,30,0,111,2,1.0,1,4,4,2,0.205,0.289,0.5,0.789,609.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Bobby Witt Jr.,23,629,Maj-AL,Kansas City,158,694.0,641,97,177,28,11,30,96.0,40,1,121,4,1.0,8,11,49,15,0.276,0.319,0.495,0.813,1571.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Connor Wong,27,629,Maj-AL,Boston,126,403.0,371,55,87,25,2,9,36.0,22,0,134,6,3.0,1,4,8,2,0.235,0.288,0.385,0.673,662.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Kolten Wong,32,619,"Maj-AL,Maj-NL","Los Angeles,Seattle",90,254.0,227,25,41,6,0,4,27.0,19,0,53,5,0.0,3,1,3,2,0.181,0.256,0.26,0.516,330.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Mike Yastrzemski,32,629,Maj-NL,San Francisco,106,381.0,330,54,77,23,1,15,43.0,45,3,99,3,2.0,1,5,2,2,0.233,0.33,0.445,0.775,687.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Christian Yelich,31,626,Maj-NL,Milwaukee,146,642.0,558,108,157,35,1,19,76.0,80,7,141,3,0.0,1,15,29,3,0.281,0.374,0.45,0.824,1358.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Masataka Yoshida,29,629,Maj-AL,Boston,140,580.0,537,71,155,33,3,15,72.0,34,0,81,7,0.0,2,20,8,0,0.289,0.338,0.445,0.783,1059.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
CJ Abrams,23,274,Maj-NL,Washington,138,602.0,541,79,133,29,6,20,65.0,40,3,128,16,1.0,4,4,31,12,0.246,0.314,0.433,0.747,1182.0,2024,batter,,,,,,,,,,,,,,,,,,,,,
Wilyer Abreu,25,265,Maj-AL,Boston,132,446.0,398,59,101,33,2,15,58.0,40,0,125,3,0.0,5,7,8,3,0.254,0.323,0.46,0.783,844.0,2024,batter,,,,,,,,,,,,,,,,,,,,,
Willy Adames,28,261,Maj-NL,Milwaukee,164,700.0,621,94,155,33,0,32,112.0,75,3,176,1,0.0,3,12,22,4,0.25,0.33,0.457,0.787,1429.0,2024,batter,,,,,,,,,,,,,,,,,,,,,
Jo Adell,25,288,Maj-AL,Los Angeles,130,451.0,405,54,84,15,2,20,62.0,35,1,126,7,0.0,3,9,15,10,0.207,0.28,0.402,0.682,823.0,2024,batter,,,,,,,,,,,,,,,,,,,,,
Nick Ahmed,34,265,Maj-NL,"Los Angeles,San Diego,San Francisco",71,228.0,210,20,48,6,1,2,17.0,11,0,51,1,3.0,3,6,2,1,0.229,0.267,0.295,0.562,283.0,2024,batter,,,,,,,,,,,,,,,,,,,,,
Ozzie Albies,27,262,Maj-NL,Atlanta,101,443.0,407,52,101,29,1,10,53.0,27,0,69,5,0.0,4,6,9,1,0.248,0.3,0.398,0.698,755.0,2024,batter,,,,,,,,,,,,,,,,,,,,,
Pete Alonso,29,244,Maj-NL,New York,175,753.0,652,101,158,32,0,38,98.0,82,5,187,14,0.0,5,16,5,0,0.242,0.337,0.466,0.804,1419.0,2024,batter,,,,,,,,,,,,,,,,,,,,,
Jose Altuve,34,262,Maj-AL,Houston,155,690.0,635,94,186,31,0,20,66.0,47,2,121,7,0.0,1,15,22,7,0.293,0.348,0.436,0.784,1298.0,2024,batter,,,,,,,,,,,,,,,,,,,,,
Francisco Alvarez,22,244,Maj-NL,New York,113,389.0,351,43,84,15,2,11,50.0,32,0,99,3,0.0,3,8,1,1,0.239,0.306,0.387,0.693,630.0,2024,batter,,,,,,,,,,,,,,,,,,,,,
Yordan Alvarez,27,262,Maj-AL,Houston,149,643.0,559,88,172,35,2,35,86.0,70,16,96,10,0.0,4,14,6,0,0.308,0.392,0.565,0.957,1379.0,2024,batter,,,,,,,,,,,,,,,,,,,,,
Miguel Amaya,25,266,Maj-NL,Chicago,117,363.0,328,32,76,13,2,8,47.0,23,0,62,4,5.0,3,5,0,0,0.232,0.288,0.357,0.644,532.0,2024,batter,,,,,,,,,,,,,,,,,,,,,
Tim Anderson,31,356,Maj-NL,Miami,65,241.0,234,16,50,3,0,0,9.0,7,0,68,0,0.0,0,6,4,4,0.214,0.237,0.226,0.463,240.0,2024,batter,,,,,,,,,,,,,,,,,,,,,
Miguel Andujar,29,301,Maj-AL,Oakland,75,319.0,302,31,86,14,1,4,30.0,13,0,42,3,0.0,1,10,3,2,0.285,0.32,0.377,0.697,488.0,2024,batter,,,,,,,,,,,,,,,,,,,,,
Orlando Arcia,29,262,Maj-NL,Atlanta,159,608.0,557,51,121,24,0,17,46.0,41,1,130,2,1.0,7,16,2,0,0.217,0.27,0.352,0.622,820.0,2024,batter,,,,,,,,,,,,,,,,,,,,,
Nolan Arenado,33,267,Maj-NL,St. Louis,152,635.0,578,70,157,23,0,16,71.0,44,2,92,5,0.0,7,15,2,2,0.272,0.325,0.394,0.719,1019.0,2024,batter,,,,,,,,,,,,,,,,,,,,,
Randy Arozarena,29,265,Maj-AL,"Seattle,Tampa Bay",154,648.0,549,77,120,33,0,20,60.0,73,0,169,22,0.0,4,7,20,10,0.219,0.332,0.388,0.72,1130.0,2024,batter,,,,,,,,,,,,,,,,,,,,,
Luis Arr\xc3\xa1ez,27,253,Maj-NL,"Miami,San Diego",157,703.0,668,87,207,32,3,4,46.0,24,3,30,8,2.0,1,20,9,3,0.31,0.341,0.385,0.726,1103.0,2024,batter,,,,,,,,,,,,,,,,,,,,,
Harrison Bader,30,247,Maj-NL,New York,148,446.0,411,60,96,19,0,12,51.0,21,1,98,8,0.0,6,6,19,8,0.234,0.28,0.367,0.648,785.0,2024,batter,,,,,,,,,,,,,,,,,,,,,
Javier B\xc3\xa1ez,31,303,Maj-AL,Detroit,80,289.0,272,25,50,12,0,6,37.0,12,1,69,2,0.0,3,10,8,1,0.184,0.221,0.294,0.516,408.0,2024,batter,,,,,,,,,,,,,,,,,,,,,
Patrick Bailey,25,266,Maj-NL,San Francisco,121,448.0,401,46,94,16,1,8,46.0,39,0,100,0,1.0,7,10,4,0,0.234,0.298,0.339,0.637,657.0,2024,batter,,,,,,,,,,,,,,,,,,,,,
Addison Barger,24,265,Maj-AL,Toronto,68,222.0,205,20,40,10,0,7,27.0,14,0,58,1,0.0,1,1,2,0,0.195,0.249,0.346,0.595,323.0,2024,batter,,,,,,,,,,,,,,,,,,,,,
Joey Bart,27,265,Maj-NL,Pittsburgh,80,282.0,253,38,67,11,0,13,45.0,22,0,73,6,0.0,1,8,0,0,0.265,0.337,0.462,0.799,536.0,2024,batter,,,,,,,,,,,,,,,,,,,,,
Jake Bauers,28,261,Maj-NL,Milwaukee,118,352.0,308,46,62,9,2,13,44.0,39,1,121,5,0.0,0,0,13,1,0.201,0.301,0.37,0.671,638.0,2024,batter,,,,,,,,,,,,,,,,,,,,,
Josh Bell,31,266,Maj-NL,"Arizona,Miami",145,603.0,538,62,134,23,2,19,71.0,51,1,120,6,0.0,3,22,0,1,0.249,0.319,0.405,0.725,971.0,2024,batter,,,,,,,,,,,,,,,,,,,,,
Cody Bellinger,28,266,Maj-NL,Chicago,130,569.0,516,72,137,23,3,18,78.0,45,7,89,3,0.0,5,10,9,2,0.266,0.325,0.426,0.751,1039.0,2024,batter,,,,,,,,,,,,,,,,,,,,,
Andrew Benintendi,29,266,Maj-AL,Chicago,135,522.0,477,50,109,20,0,20,64.0,41,1,96,1,0.0,3,12,3,2,0.229,0.289,0.396,0.685,834.0,2024,batter,,,,,,,,,,,,,,,,,,,,,
Will Benson,26,267,Maj-NL,Cincinnati,128,388.0,343,41,64,19,2,14,43.0,40,0,154,2,1.0,2,3,16,7,0.187,0.274,0.376,0.65,670.0,2024,batter,,,,,,,,,,,,,,,,,,,,,
Mookie Betts,31,234,Maj-NL,Los Angeles,130,580.0,503,87,142,28,5,22,84.0,70,5,67,1,0.0,6,11,18,2,0.282,0.367,0.489,0.856,1235.0,2024,batter,,,,,,,,,,,,,,,,,,,,,
Bo Bichette,26,277,Maj-AL,Toronto,81,336.0,311,29,70,16,1,4,31.0,20,1,64,3,0.0,2,12,5,1,0.225,0.277,0.322,0.598,466.0,2024,batter,,,,,,,,,,,,,,,,,,,,,
Charlie Blackmon,37,265,Maj-NL,Colorado,124,499.0,449,59,115,24,5,12,52.0,43,2,86,6,0.0,1,4,6,2,0.256,0.329,0.412,0.741,852.0,2024,batter,,,,,,,,,,,,,,,,,,,,,
JJ Bleday,26,265,Maj-AL,Oakland,159,642.0,572,74,139,43,4,20,60.0,67,2,125,2,1.0,0,8,2,3,0.243,0.324,0.437,0.762,1079.0,2024,batter,,,,,,,,,,,,,,,,,,,,,
Xander Bogaerts,31,253,Maj-NL,San Diego,116,479.0,443,49,113,16,1,12,45.0,29,0,80,1,0.0,6,13,13,3,0.255,0.299,0.377,0.676,773.0,2024,batter,,,,,,,,,,,,,,,,,,,,,
Alec Bohm,27,255,Maj-NL,Philadelphia,147,620.0,567,62,156,44,2,15,97.0,41,2,86,6,0.0,6,18,5,2,0.275,0.327,0.439,0.767,1108.0,2024,batter,,,,,,,,,,,,,,,,,,,,,
Alex Bregman,30,262,Maj-AL,Houston,147,642.0,589,79,154,30,2,26,75.0,44,1,86,5,0.0,4,13,3,1,0.261,0.316,0.452,0.768,1135.0,2024,batter,,,,,,,,,,,,,,,,,,,,,
Will Brennan,26,246,Maj-AL,Cleveland,120,365.0,342,37,89,15,2,8,31.0,19,2,52,3,0.0,1,9,4,2,0.26,0.304,0.386,0.69,563.0,2024,batter,,,,,,,,,,,,,,,,,,,,,
Jonah Bride,28,265,Maj-NL,Miami,71,272.0,232,30,64,10,0,11,39.0,30,1,55,3,0.0,7,9,0,1,0.276,0.357,0.461,0.818,493.0,2024,batter,,,,,,,,,,,,,,,,,,,,,
Seth Brown,31,265,Maj-AL,Oakland,124,400.0,372,32,86,11,1,14,44.0,25,0,112,2,0.0,1,7,4,2,0.231,0.283,0.379,0.662,609.0,2024,batter,,,,,,,,,,,,,,,,,,,,,
Vidal Bruj\xc3\xa1n,26,267,Maj-NL,Miami,102,278.0,248,32,55,14,2,2,16.0,25,3,54,4,1.0,0,5,5,6,0.222,0.303,0.319,0.622,396.0,2024,batter,,,,,,,,,,,,,,,,,,,,,
Jake Burger,28,265,Maj-NL,Miami,137,579.0,535,68,134,23,1,29,76.0,31,2,150,9,0.0,4,11,1,1,0.25,0.301,0.46,0.76,1029.0,2024,batter,,,,,,,,,,,,,,,,,,,,,
Alec Burleson,25,265,Maj-NL,St. Louis,152,595.0,547,71,147,20,0,21,78.0,35,0,76,4,1.0,6,8,9,4,0.269,0.314,0.42,0.735,1049.0,2024,batter,,,,,,,,,,,,,,,,,,,,,
Michael Busch,26,265,Maj-NL,Chicago,152,567.0,496,73,123,28,2,21,65.0,63,1,162,4,0.0,4,9,2,1,0.248,0.335,0.44,0.775,1002.0,2024,batter,,,,,,,,,,,,,,,,,,,,,
Lawrence Butler,23,266,Maj-AL,Oakland,125,451.0,412,63,108,24,2,22,57.0,35,0,108,0,0.0,4,8,18,0,0.262,0.317,0.49,0.807,936.0,2024,batter,,,,,,,,,,,,,,,,,,,,,
Byron Buxton,30,267,Maj-AL,Minnesota,102,388.0,355,62,99,27,3,18,56.0,20,1,99,11,0.0,2,3,7,2,0.279,0.335,0.524,0.859,825.0,2024,batter,,,,,,,,,,,,,,,,,,,,,
Jos\xc3\xa9 Caballero,27,265,Maj-AL,Tampa Bay,139,483.0,441,53,100,24,1,9,44.0,27,1,133,9,3.0,3,6,44,16,0.227,0.283,0.347,0.63,902.0,2024,batter,,,,,,,,,,,,,,,,,,,,,
Oswaldo Cabrera,25,245,Maj-AL,New York,111,335.0,305,47,75,12,0,8,36.0,24,0,66,1,2.0,3,6,4,2,0.246,0.3,0.364,0.664,541.0,2024,batter,,,,,,,,,,,,,,,,,,,,,
Willie Calhoun,29,311,Maj-AL,Los Angeles,68,254.0,229,26,56,16,0,5,20.0,23,1,31,1,0.0,1,5,0,1,0.245,0.315,0.38,0.695,375.0,2024,batter,,,,,,,,,,,,,,,,,,,,,
Luis Campusano,25,287,Maj-NL,San Diego,89,289.0,267,35,60,11,0,8,38.0,20,0,41,1,0.0,1,10,0,0,0.225,0.28,0.356,0.636,446.0,2024,batter,,,,,,,,,,,,,,,,,,,,,
Jeimer Candelario,30,306,Maj-NL,Cincinnati,112,463.0,427,47,96,23,2,20,56.0,27,1,114,6,0.0,3,7,4,3,0.225,0.279,0.429,0.707,776.0,2024,batter,,,,,,,,,,,,,,,,,,,,,
Mark Canha,35,266,"Maj-AL,Maj-NL","Detroit,San Francisco",125,462.0,393,46,95,20,0,7,42.0,51,2,96,13,0.0,5,10,7,0,0.242,0.344,0.346,0.69,713.0,2024,batter,,,,,,,,,,,,,,,,,,,,,
Victor Caratini,30,262,Maj-AL,Houston,89,282.0,251,31,67,8,1,8,30.0,23,1,56,5,0.0,3,6,0,1,0.267,0.337,0.402,0.739,456.0,2024,batter,,,,,,,,,,,,,,,,,,,,,
Dylan Carlson,25,265,"Maj-AL,Maj-NL","St. Louis,Tampa Bay",96,265.0,235,19,49,7,0,3,25.0,22,0,75,5,0.0,3,2,2,1,0.209,0.287,0.277,0.563,334.0,2024,batter,,,,,,,,,,,,,,,,,,,,,
Kerry Carpenter,26,252,Maj-AL,Detroit,94,316.0,283,40,80,16,5,19,61.0,23,2,82,4,0.0,3,6,0,2,0.283,0.342,0.576,0.918,686.0,2024,batter,,,,,,,,,,,,,,,,,,,,,
Corbin Carroll,23,265,Maj-NL,Arizona,158,684.0,589,121,136,22,14,22,74.0,73,0,130,10,3.0,9,3,35,8,0.231,0.322,0.428,0.749,1407.0,2024,batter,,,,,,,,,,,,,,,,,,,,,
Triston Casas,24,265,Maj-AL,Boston,62,240.0,210,28,51,8,0,13,32.0,29,4,75,1,0.0,0,6,0,1,0.243,0.338,0.467,0.804,440.0,2024,batter,,,,,,,,,,,,,,,,,,,,,
Nick Castellanos,32,255,Maj-NL,Philadelphia,166,676.0,623,82,161,31,4,24,89.0,41,2,142,10,0.0,2,14,6,2,0.258,0.314,0.437,0.75,1207.0,2024,batter,,,,,,,,,,,,,,,,,,,,,
Willi Castro,27,266,Maj-AL,Minnesota,158,635.0,558,89,138,31,5,12,60.0,51,0,150,21,1.0,4,8,14,9,0.247,0.331,0.385,0.717,1097.0,2024,batter,,,,,,,,,,,,,,,,,,,,,
Jake Cave,31,265,Maj-NL,Colorado,123,346.0,323,42,81,16,5,7,37.0,18,1,98,1,1.0,3,6,5,2,0.251,0.29,0.396,0.686,570.0,2024,batter,,,,,,,,,,,,,,,,,,,,,
Matt Chapman,31,265,Maj-NL,San Francisco,154,647.0,575,98,142,39,2,27,78.0,64,3,158,6,0.0,2,13,15,2,0.247,0.328,0.463,0.79,1270.0,2024,batter,,,,,,,,,,,,,,,,,,,,,
Jazz Chisholm Jr.,26,234,"Maj-AL,Maj-NL","Miami,New York",161,682.0,617,79,154,22,4,26,75.0,57,5,166,5,1.0,2,6,46,11,0.25,0.317,0.425,0.742,1370.0,2024,batter,,,,,,,,,,,,,,,,,,,,,
Jackson Chourio,20,261,Maj-NL,Milwaukee,151,585.0,539,83,150,29,4,23,82.0,40,4,122,3,1.0,2,7,23,7,0.278,0.33,0.475,0.805,1220.0,2024,batter,,,,,,,,,,,,,,,,,,,,,
Ernie Clement,28,265,Maj-AL,Toronto,138,452.0,434,47,114,21,3,12,51.0,11,1,41,3,2.0,2,11,12,3,0.263,0.284,0.408,0.692,767.0,2024,batter,,,,,,,,,,,,,,,,,,,,,
Michael Conforto,31,265,Maj-NL,San Francisco,130,488.0,438,56,104,27,3,20,66.0,42,1,118,5,0.0,3,16,0,1,0.237,0.309,0.45,0.759,859.0,2024,batter,,,,,,,,,,,,,,,,,,,,,
William Contreras,26,261,Maj-NL,Milwaukee,158,691.0,607,99,169,37,2,23,94.0,78,5,142,3,0.0,3,20,9,2,0.278,0.362,0.46,0.821,1345.0,2024,batter,,,,,,,,,,,,,,,,,,,,,
Willson Contreras,32,301,Maj-NL,St. Louis,84,358.0,301,48,79,17,0,15,36.0,45,2,96,12,0.0,0,7,4,1,0.262,0.38,0.468,0.848,678.0,2024,batter,,,,,,,,,,,,,,,,,,,,,
Carlos Correa,29,267,Maj-AL,Minnesota,86,367.0,319,55,99,20,2,14,54.0,40,4,61,3,0.0,4,5,0,0,0.31,0.388,0.517,0.905,749.0,2024,batter,,,,,,,,,,,,,,,,,,,,,
Colton Cowser,24,262,Maj-AL,Baltimore,155,568.0,506,77,122,24,3,24,69.0,52,2,175,7,0.0,3,9,9,4,0.241,0.319,0.443,0.761,1052.0,2024,batter,,,,,,,,,,,,,,,,,,,,,
J.P. Crawford,29,265,Maj-AL,Seattle,105,451.0,392,55,79,16,2,9,37.0,52,0,102,6,0.0,1,4,5,0,0.202,0.304,0.321,0.625,667.0,2024,batter,,,,,,,,,,,,,,,,,,,,,
Jake Cronenworth,30,253,Maj-NL,San Diego,160,671.0,591,72,138,29,3,17,79.0,63,0,125,11,1.0,2,19,5,2,0.234,0.318,0.379,0.697,1081.0,2024,batter,,,,,,,,,,,,,,,,,,,,,
Pete Crow-Armstrong,22,265,Maj-NL,Chicago,123,410.0,372,46,88,13,6,10,47.0,21,2,98,6,8.0,3,4,27,3,0.237,0.286,0.384,0.67,765.0,2024,batter,,,,,,,,,,,,,,,,,,,,,
