player_name,position,actual_points,predicted_points
R.White,RB,203.10000610351562,137.42
D.Pierce,RB,46.0,43.03
K.Shakir,WR,217.89999389648438,219.62
T.Allgeier,RB,106.19999694824219,133.9
J.Ford,RB,134.0,123.14
T.Chandler,RB,28.399999618530273,39.71
J.Nailor,WR,111.30000305175781,102.49
A.Ogletree,TE,25.899999618530273,24.91
M.Woods,WR,13.5,19.01
C.Heyward,TE,16.0,15.15
S.Smartt,TE,34.79999923706055,40.06
S.McCormick,RB,27.200000762939453,36.74
T.Martin,WR,11.899999618530273,14.64
J.Mason,RB,115.0,162.14
L.Krull,TE,35.400001525878906,34.54
R.Shaheed,WR,81.80000305175781,74.49
R.Rivers,RB,19.100000381469727,19.2
P.Hendershot,TE,10.100000381469727,12.94
J.Chestnut,RB,13.300000190734863,16.8
J.Metchie,WR,65.69999694824219,68.4
H.Haskins,RB,33.29999923706055,22.7
T.Fisk,TE,13.399999618530273,15.11
A.Pierce,WR,161.39999389648438,190.05
J.Tolbert,WR,152.0,145.45
G.Wilson,WR,251.89999389648438,245.15
J.Dotson,WR,56.20000076293945,60.08
T.McBride,TE,243.8000030517578,264.23
B.Robinson,RB,190.89999389648438,180.24
K.Turpin,WR,104.19999694824219,86.55
J.Ruckert,TE,28.5,30.53
C.Okonkwo,TE,113.5999984741211,112.33
R.Doubs,WR,135.39999389648438,141.98
B.Purdy,QB,266.8600158691406,239.89
C.Austin,WR,124.29999542236328,113.34
I.Likely,TE,149.3000030517578,131.36
K.Williams,RB,299.79998779296875,291.3
Z.White,RB,29.299999237060547,40.38
J.Ferguson,TE,104.4000015258789,124.32
C.Kolar,TE,28.299999237060547,24.6
P.Strong,RB,35.20000076293945,40.95
K.Pickett,QB,24.440000534057617,21.04
D.Bellinger,TE,26.5,29.07
W.Robinson,WR,182.6999969482422,177.89
B.Hall,RB,240.89999389648438,220.71
D.Ridder,QB,21.920000076293945,26.25
C.Watson,WR,105.29999542236328,131.15
M.Willis,QB,51.79999923706055,36.28
C.Otton,TE,145.8000030517578,142.52
K.Walker,RB,181.1999969482422,139.4
D.Wicks,WR,116.4000015258789,108.77
E.Gray,RB,19.299999237060547,32.29
T.McKee,QB,28.81999969482422,21.67
M.Heath,WR,31.700000762939453,26.15
T.DeVito,QB,13.480000495910645,20.53
X.Gipson,WR,16.399999618530273,17.56
B.Robinson,RB,341.70001220703125,282.48
J.Smith-Njigba,WR,253.0,245.91
Q.Johnston,WR,174.6999969482422,171.15
L.Schoonmaker,TE,57.10000228881836,56.7
K.Miller,RB,29.099998474121094,30.2
T.Bigsby,RB,129.0,164.04
D.Washington,TE,46.900001525878906,44.37
M.Wilson,WR,124.5,121.09
T.Tucker,WR,129.3000030517578,121.32
D.Davis,WR,41.20000076293945,37.91
A.O'Connell,QB,93.47999572753906,99.5
D.Thompson-Robinson,QB,15.800000190734863,31.05
J.Whyle,TE,60.79999923706055,56.66
C.Brown,RB,255.0,241.8
P.Washington,WR,97.0,84.99
K.Boutte,WR,121.9000015258789,119.45
C.Rodriguez,RB,31.5,27.54
X.Hutchinson,WR,37.29999923706055,42.08
A.Iosivas,WR,119.9000015258789,107.19
D.Douglas,WR,147.6999969482422,148.22
D.Vaughn,RB,11.800000190734863,14.23
K.McIntosh,RB,22.399999618530273,25.37
J.Brooks,WR,35.70000076293945,37.31
J.Mims,RB,26.100000381469727,36.52
T.Shavers,WR,13.899999618530273,16.18
C.Brooks,RB,45.099998474121094,38.39
E.Demercado,RB,54.70000076293945,45.12
B.Whiteheart,TE,17.100000381469727,14.99
J.Hill,TE,22.0,25.19
J.Bobo,WR,29.700000762939453,27.78
N.Adkins,TE,43.5,33.81
J.McLaughlin,RB,98.0,103.31
E.Wilson,RB,99.9000015258789,84.07
R.Jarrett,WR,21.399999618530273,25.26
R.Miller,WR,36.79999923706055,36.46
D.Kincaid,TE,113.9000015258789,119.65
B.Strange,TE,91.0999984741211,93.86
J.Hyatt,WR,14.199999809265137,20.48
S.Tucker,RB,68.69999694824219,56.11
M.Mims,WR,132.8000030517578,113.44
T.Dell,WR,140.0,146.12
C.Tillman,WR,80.4000015258789,80.36
J.Addison,WR,218.40000915527344,212.58
T.Kraft,TE,171.89999389648438,144.64
J.Downs,WR,182.1999969482422,199.49
J.Haener,QB,13.239999771118164,19.05
R.Johnson,RB,77.4000015258789,47.56
T.Spears,RB,113.5999984741211,105.81
D.Achane,RB,299.8999938964844,230.88
E.Higgins,TE,49.20000076293945,45.31
P.Durham,TE,34.5,27.27
T.Palmer,WR,35.20000076293945,36.69
J.Mingo,WR,32.20000076293945,35.58
Z.Flowers,WR,209.5,216.51
S.LaPorta,TE,191.6999969482422,168.37
M.Mayer,TE,36.599998474121094,37.61
R.Rice,WR,64.9000015258789,65.57
D.Allen,TE,18.200000762939453,20.19
P.Nacua,WR,232.39999389648438,235.28
J.Gibbs,RB,390.3999938964844,326.45
L.Musgrave,TE,11.5,14.63
J.Reed,WR,205.60000610351562,201.4
B.Young,QB,195.02000427246094,185.05
W.Levis,QB,119.94000244140625,127.5
C.Stroud,QB,251.86000061035156,321.22
A.Richardson,QB,163.36000061035156,120.41
Z.Charbonnet,RB,183.6999969482422,135.32
J.Wilson,WR,14.800000190734863,17.06
C.Steele,RB,23.899999618530273,40.09
M.Nabers,WR,273.6000061035156,266.04
B.Bowers,TE,262.70001220703125,268.34
X.Legette,WR,125.0999984741211,117.22
L.McCaffrey,WR,34.79999923706055,36.27
J.Sanders,TE,73.19999694824219,100.19
C.Stover,TE,41.099998474121094,40.12
B.Irving,RB,260.70001220703125,253.6
I.Guerendo,RB,96.19999694824219,81.09
J.Cowing,WR,12.699999809265137,14.49
A.Estime,RB,48.70000076293945,48.8
S.Rattler,QB,67.27999877929688,84.77
T.Tracy,RB,182.3000030517578,190.06
B.Means,WR,26.799999237060547,25.76
K.Vidal,RB,32.70000076293945,35.18
J.Milton,QB,19.239999771118164,20.16
R.Flournoy,WR,18.200000762939453,23.81
D.Vele,WR,106.5,106.37
J.Coker,WR,92.55999755859375,92.52
B.Spann-Ford,TE,17.799999237060547,23.38
M.Tipton,WR,23.899999618530273,30.8
B.Oliver,WR,15.5,17.98
B.Nix,QB,331.260009765625,283.57
B.Corum,RB,33.5,41.25
W.Shipley,RB,29.399999618530273,23.24
A.Smith,WR,17.69999885559082,20.1
J.Whittington,WR,54.70000076293945,63.05
D.Culp,TE,13.799999237060547,16.97
A.Barner,TE,78.5,66.98
B.Allen,RB,85.20000457763672,95.4
I.Davis,RB,45.900001525878906,37.61
J.Burton,WR,14.699999809265137,19.21
E.All,TE,35.79999923706055,35.35
T.Johnson,TE,68.0999984741211,71.61
M.Harrison,WR,196.5,206.28
D.Maye,QB,177.13999938964844,139.64
J.McMillan,WR,141.5,110.72
T.Franklin,WR,80.5,74.37
J.Wright,RB,26.700000762939453,39.06
R.Davis,RB,125.69999694824219,92.97
M.Washington,WR,56.80000305175781,51.17
A.Mitchell,WR,53.7599983215332,62.69
B.Thomas,WR,284.0,275.52
X.Worthy,WR,253.6999969482422,224.58
K.Coleman,WR,118.69999694824219,113.39
J.Polk,WR,32.70000076293945,31.35
J.Daniels,QB,428.1999816894531,368.64
B.Sinnott,TE,17.100000381469727,15.88
L.McConkey,WR,275.6000061035156,278.81
R.Pearsall,WR,93.5,87.27
M.Penix,QB,44.099998474121094,39.9
C.Williams,QB,254.5399932861328,243.02
R.Odunze,WR,144.89999389648438,152.94
T.Benson,RB,47.0,46.18
