game_date,player_id,at_bats,hits,doubles,triples,home_runs,walks,strikeouts,hit_by_pitch,batting_avg,fantasy_points,total_pitches,first_name,last_name,position,player_type,team,innings_pitched,hits_allowed,home_runs_allowed,walks_allowed,total_batters
2024-09-03,646240,4.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,-2.0,18,Rafael,Devers,3B,b,BOS,,,,,
2024-09-04,646240,4.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,-1.0,11,Rafael,Devers,3B,b,BOS,,,,,
2024-09-06,646240,4.0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.5,6.0,12,Rafael,Devers,3B,b,BOS,,,,,
2024-09-07,646240,4.0,1.0,1.0,0.0,0.0,2.0,0,0.0,0.25,9.0,18,Rafael,Devers,3B,b,BOS,,,,,
2024-09-01,571448,6.0,1.0,0.0,0.0,0.0,1.0,1,0.0,0.16666666666666666,4.0,28,Nolan,Arenado,3B,b,STL,,,,,
2024-09-02,571448,4.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,-1.0,19,Nolan,Arenado,3B,b,STL,,,,,
2024-09-03,571448,6.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,-2.0,22,Nolan,Arenado,3B,b,STL,,,,,
2024-09-04,571448,4.0,1.0,1.0,0.0,0.0,0.0,2,0.0,0.25,3.0,13,Nolan,Arenado,3B,b,STL,,,,,
2024-09-06,571448,3.0,1.0,0.0,0.0,0.0,0.0,1,0.0,0.3333333333333333,2.0,16,Nolan,Arenado,3B,b,STL,,,,,
2024-09-07,571448,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5,Nolan,Arenado,3B,b,STL,,,,,
2024-09-01,607208,5.0,1.0,0.0,0.0,0.0,1.0,2,0.0,0.2,3.0,16,Trea,Turner,SS,b,PHI,,,,,
2024-09-03,607208,6.0,3.0,1.0,0.0,0.0,0.0,1,0.0,0.5,10.0,16,Trea,Turner,SS,b,PHI,,,,,
2024-09-04,607208,4.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,2.0,20,Trea,Turner,SS,b,PHI,,,,,
2024-09-05,607208,5.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,2.0,17,Trea,Turner,SS,b,PHI,,,,,
2024-09-06,607208,6.0,3.0,1.0,0.0,1.0,1.0,0,0.0,0.5,17.0,19,Trea,Turner,SS,b,PHI,,,,,
2024-09-07,607208,4.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,-2.0,21,Trea,Turner,SS,b,PHI,,,,,
2024-09-01,596019,4.0,1.0,0.0,0.0,1.0,0.0,3,0.0,0.25,4.0,15,Francisco,Lindor,SS,b,NYM,,,,,
2024-09-02,596019,4.0,2.0,0.0,0.0,0.0,0.0,1,1.0,0.5,7.0,11,Francisco,Lindor,SS,b,NYM,,,,,
2024-09-03,596019,4.0,2.0,1.0,0.0,1.0,0.0,1,0.0,0.5,11.0,15,Francisco,Lindor,SS,b,NYM,,,,,
2024-09-04,596019,5.0,2.0,1.0,0.0,0.0,0.0,0,0.0,0.4,8.0,23,Francisco,Lindor,SS,b,NYM,,,,,
2024-09-06,596019,5.0,1.0,0.0,0.0,0.0,0.0,1,0.0,0.2,2.0,14,Francisco,Lindor,SS,b,NYM,,,,,
2024-09-07,596019,4.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,2.0,19,Francisco,Lindor,SS,b,NYM,,,,,
2024-09-01,608369,5.0,2.0,2.0,0.0,0.0,0.0,1,0.0,0.4,9.0,18,Corey,Seager,SS,b,TEX,,,,,
2024-09-02,608369,4.0,2.0,0.0,0.0,0.0,0.0,2,0.0,0.5,4.0,10,Corey,Seager,SS,b,TEX,,,,,
2024-09-01,592450,4.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,-2.0,26,Aaron,Judge,OF,b,NYY,,,,,
2024-09-02,592450,5.0,1.0,1.0,0.0,0.0,0.0,2,0.0,0.2,3.0,23,Aaron,Judge,OF,b,NYY,,,,,
2024-09-03,592450,5.0,1.0,0.0,0.0,0.0,0.0,2,0.0,0.2,1.0,20,Aaron,Judge,OF,b,NYY,,,,,
2024-09-04,592450,4.0,0.0,0.0,0.0,0.0,1.0,1,0.0,0.0,1.0,12,Aaron,Judge,OF,b,NYY,,,,,
2024-09-06,592450,4.0,1.0,1.0,0.0,0.0,1.0,1,0.0,0.25,6.0,21,Aaron,Judge,OF,b,NYY,,,,,
2024-09-07,592450,4.0,0.0,0.0,0.0,0.0,1.0,1,0.0,0.0,1.0,17,Aaron,Judge,OF,b,NYY,,,,,
2024-09-01,605141,2.0,1.0,0.0,0.0,0.0,0.0,1,0.0,0.5,2.0,4,Mookie,Betts,OF,b,LAD,,,,,
2024-09-02,605141,4.0,2.0,1.0,0.0,0.0,0.0,0,0.0,0.5,8.0,18,Mookie,Betts,OF,b,LAD,,,,,
2024-09-03,605141,5.0,2.0,0.0,0.0,1.0,0.0,0,0.0,0.4,10.0,15,Mookie,Betts,OF,b,LAD,,,,,
2024-09-04,605141,3.0,1.0,0.0,0.0,0.0,1.0,1,0.0,0.3333333333333333,4.0,13,Mookie,Betts,OF,b,LAD,,,,,
2024-09-06,605141,4.0,2.0,2.0,0.0,0.0,0.0,0,0.0,0.5,10.0,10,Mookie,Betts,OF,b,LAD,,,,,
2024-09-07,605141,4.0,1.0,0.0,0.0,1.0,1.0,1,0.0,0.25,8.0,14,Mookie,Betts,OF,b,LAD,,,,,
2024-09-01,665742,5.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.2,3.0,15,Juan,Soto,OF,b,NYY,,,,,
2024-09-02,665742,5.0,2.0,0.0,0.0,0.0,1.0,0,0.0,0.4,8.0,24,Juan,Soto,OF,b,NYY,,,,,
2024-09-03,665742,5.0,0.0,0.0,0.0,0.0,1.0,1,1.0,0.0,3.0,21,Juan,Soto,OF,b,NYY,,,,,
2024-09-04,665742,4.0,3.0,1.0,0.0,1.0,1.0,0,0.0,0.75,17.0,11,Juan,Soto,OF,b,NYY,,,,,
2024-09-06,665742,4.0,1.0,0.0,0.0,0.0,0.0,1,0.0,0.25,2.0,16,Juan,Soto,OF,b,NYY,,,,,
2024-09-07,665742,4.0,0.0,0.0,0.0,0.0,2.0,1,0.0,0.0,3.0,21,Juan,Soto,OF,b,NYY,,,,,
2024-09-06,663656,4.0,0.0,0.0,0.0,0.0,1.0,1,1.0,0.0,3.0,22,Kyle,Tucker,OF,b,HOU,,,,,
2024-09-03,543807,5.0,3.0,0.0,0.0,0.0,1.0,0,0.0,0.6,11.0,18,George,Springer,OF,b,TOR,,,,,
2024-09-04,543807,4.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,12,George,Springer,OF,b,TOR,,,,,
2024-09-06,543807,5.0,1.0,0.0,0.0,0.0,0.0,1,0.0,0.2,2.0,17,George,Springer,OF,b,TOR,,,,,
2024-09-01,641355,6.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,-3.0,16,Cody,Bellinger,OF,b,CHC,,,,,
2024-09-02,641355,4.0,1.0,0.0,0.0,0.0,0.0,1,0.0,0.25,2.0,11,Cody,Bellinger,OF,b,CHC,,,,,
2024-09-03,641355,4.0,1.0,0.0,0.0,0.0,1.0,0,0.0,0.25,5.0,17,Cody,Bellinger,OF,b,CHC,,,,,
2024-09-04,641355,4.0,2.0,0.0,0.0,1.0,0.0,1,0.0,0.5,9.0,14,Cody,Bellinger,OF,b,CHC,,,,,
2024-09-06,641355,4.0,1.0,1.0,0.0,0.0,2.0,0,0.0,0.25,9.0,25,Cody,Bellinger,OF,b,CHC,,,,,
2024-09-07,641355,4.0,1.0,0.0,0.0,0.0,0.0,1,0.0,0.25,2.0,17,Cody,Bellinger,OF,b,CHC,,,,,
2024-09-01,668227,4.0,0.0,0.0,0.0,0.0,1.0,1,0.0,0.0,1.0,19,Randy,Arozarena,OF,b,TB,,,,,
2024-09-02,668227,4.0,1.0,0.0,0.0,0.0,0.0,2,0.0,0.25,1.0,15,Randy,Arozarena,OF,b,TB,,,,,
2024-09-03,668227,4.0,0.0,0.0,0.0,0.0,1.0,3,0.0,0.0,-1.0,20,Randy,Arozarena,OF,b,TB,,,,,
